taxa,prop_generalist,n_host_families,n_host_species
Cania,0.5,21,24
Canipsa,1,1,2
Canthelea,0,1,1
Caphys,1,4,5
Capidentalia,0,3,3
Capperia,0.25,4,5
Caprona,0.3333333333333333,4,4
Capronnieria,0,1,1
Capua,0.25,14,16
Capusa,0.5,4,4
Capys,0.7333333333333333,15,27
Caradrina,0.3333333333333333,13,16
Carcharodus,0.3333333333333333,3,5
Cardamyla,0,2,2
Carea,0.4166666666666667,18,29
Careades,0,1,1
Carectocultus,0,1,1
Carelis,0,1,1
Cargolia,1,2,3
Caria,1,2,2
Carige,0,1,1
Caripeta,0.8333333333333334,8,40
Caristanius,1,2,5
Carmara,0,1,1
Carmentina,1,1,2
Carnegia,0,1,1
Carolella,0,5,5
Carrhenes,0,1,1
Carsia,1,3,6
Cartaletis,1,1,2
Cartaletis Libyssa,0,4,1
Carterocephalus,1,2,9
Carthaea,1,1,3
Caryocolum,0.6666666666666666,34,92
Carystoides,0.5,2,3
Carystus,0.3333333333333333,4,7
Casbia,0,1,1
Casphalia,1,2,2
Cassionympha,0,1,1
Cassyma,1,1,3
Castalius,1,1,5
Castilia,0.3333333333333333,3,4
Casuariclystis,0,1,1
Catabena,1,2,3
Cataclysta,0,1,1
Catacroptera,1,2,6
Catada,0,2,2
Catada?,0,1,1
Catagela,0,1,1
Catagramma,0.5,4,6
Catalebeda,0.5,3,3
Catamacta,0,2,2
Catamecia,0,1,1
Catamola,1,1,3
Catapaecilma,0.3333333333333333,4,5
Cataplectica,0,1,1
Catarhoe,0,2,2
Catastega,0,1,1
Catasticta,0.5,3,3
Catephia,0,2,2
Catephiodes,0,1,1
Cathopsyche,0,1,1
Cathyalia,1,2,2
Catoblemma,0,4,4
Catoblepia,0.5,2,3
Catocala,0.6504065040650406,168,326
Catochrysops,1,6,15
Catonephele,0.5714285714285714,11,20
Catopsilia,0.7142857142857143,19,79
Catopta,0,1,1
Catoptria,0.3333333333333333,7,10
Catopyla,1,1,5
Catoria,0.5,3,3
Catuna,1,2,6
Caudellia,1,1,2
Caulastrocecis,0,1,1
Cautethia,0.6666666666666666,5,6
Cavipalpia,1,1,2
Cebysa,0,1,1
Cecharismena,0,1,1
Cechenena,1,4,4
Cecidipta,1,1,2
Cecidophaga,0,1,1
Cecidoses,1,2,3
Cecidothyris,0,1,1
Cedestis,0.6666666666666666,4,8
Celaena,1,9,10
Celaenorrhinus,0.3,10,16
Celaenorrhinus Ambareesa,0,1,1
Celaenorrhinus Asmara,0,1,1
Celaenorrhinus Biseriata,0,1,1
Celaenorrhinus Galenus,0,2,1
Celaenorrhinus Leucocera,0,5,1
Celaenorrhinus Maculosa,0,1,1
Celaenorrhinus Mokeezi,0,3,1
Celaenorrhinus Plagifera,0,1,1
Celaenorrhinus Proxima,0,1,1
Celaenorrhinus Ruficornis,0,1,1
Celama,0,2,2
Celastrina,0.45454545454545453,36,109
Celerena,0,1,1
Celidomphax,0,1,1
Celiptera,0,1,1
Celotes,1,2,10
Celypha,0.5555555555555556,18,21
Centroctena,0.5,2,3
Cephitinea,0,2,2
Cephonodes,1,19,55
Cephonodes Armatus,0,3,1
Cephonodes Hylas,0,44,10
Cephonodes Kingii,0,4,3
Cephonodes Picus,0,17,5
Cephrenes,0.5,5,11
Cephrenes Acalle?,0,1,1
Cephrenes Augiades,0,2,1
Cephrenes Chrysozona,0,9,2
Cephrenes Moseleyi,0,1,1
Cepora,0.7142857142857143,8,28
Cepphis,1,13,17
Cerace,0.6666666666666666,14,16
Ceranemota,0.6666666666666666,3,6
Cerapteryx,1,1,4
Cerastis,1,15,17
Ceratinia,1,1,2
Ceratiscada,0,1,1
Ceratodalia,0,1,1
Ceratomia,0.6,14,27
Ceratonyx,1,2,2
Ceratophaga,0,2,2
Ceratrichia,1,1,2
Cercyonis,0.5,5,11
Cereophagus,0,1,1
Cerma,0.5,3,11
Cerodirphia,0,2,2
Ceromitia,0,1,1
Ceroprepes,0,1,1
Certima,0,1,1
Cerynea,1,5,5
Cethosia,0.6666666666666666,11,19
Cetola,1,4,6
Ceutholopha,1,1,4
Chabuata,1,2,2
Chaetaglaea,1,4,4
Chaetoprocta,1,1,2
Chalastra,0.5,4,5
Chalceopla,0,2,2
Chalceria,1,3,16
Chalcidoptera,0.3333333333333333,4,8
Chalciope,0,2,2
Chalcocelis,0.3333333333333333,14,22
Chalcoela,1,2,2
Chalcoscelides,1,9,11
Chalcosia,0,3,3
Chalcoteuches,0,1,1
Chalioides,0.8333333333333334,23,26
Chalybs,0,2,2
Chalybs Hassan,0,1,1
Chalybs Janias,0,1,1
Characoma,0.4166666666666667,29,39
Characoma?,0,1,1
Charana,0,1,1
Charanyca,1,2,4
Charaxes,0.6326530612244898,228,376
Chariaspilates,0,1,1
Charidea,0.3333333333333333,4,4
Charidryas,1,12,54
Charis,0,1,1
Charixena,0,1,1
Chasmina,0.3333333333333333,7,10
Chasminodes,0,2,2
Chavarriella,0,1,1
Chazara,0.5,2,5
Chazaria,0,1,1
Chedra,1,1,2
Chelepteryx,0.5,4,5
Chelonomorpha,1,2,2
Chenuala,1,3,5
Cheritra,1,9,8
Cheromettia,0.8,38,51
Chersonesia,0.5,2,6
Chersotis,0.6,7,8
Chesias,0,2,2
Cheteoscelis,0.3333333333333333,4,5
Chevalierella,0,1,1
Chiasmia,1,1,2
Chilades,0.5555555555555556,23,39
Childrena,0,1,1
Chilena,0.5,3,4
Chileulia,1,4,6
Chilo,0.6666666666666666,29,102
Chilocampyla,1,2,8
Chilodes,0,1,1
Chilomima,0,1,1
Chilozela,0,2,2
Chimoptesis,0,2,2
Chioides,1,2,6
Chioides Catillus,0,6,2
Chiomara,0.75,6,9
Chionodes,0.5,62,111
Chitoria,0.3333333333333333,3,4
Chitoria Chrysolora,0,2,1
Chitoria Sordida,0,1,1
Chitoria Ulupi,0,2,1
Chlenias,0.6,8,8
Chliaria,0.6666666666666666,3,11
Chloantha,1,1,2
Chloeres,1,1,3
Chlorerythra,1,1,2
Chlorissa,0.5,17,17
Chlorochlamys,1,8,27
Chloroclysta,0.7142857142857143,26,36
Chloroclystis,0.3333333333333333,36,45
Chlorodes,0,1,1
Chloromachia,0,2,2
Chloropteryx,0.5,4,4
Chlorosea,1,4,5
Chloroselas,0,1,1
Chlorostrymon,0.3333333333333333,6,7
Chlorozada,0,1,1
Chlosyne,0.5714285714285714,8,37
Chlumetia,0.2,7,9
Choaspes,0.6,11,19
Choephora,1,4,4
Cholotis,0,1,1
Cholotis Semnostola,0,1,1
Chondrolepis,0,3,3
Chondrostega,1,3,3
Chora,0,2,2
Choranthus,0.3333333333333333,4,5
Choreutis,0.35,26,42
Choreutis Aegyptiaca,0,5,2
Choreutis Argoxantha,0,1,1
Choreutis Betuliperda,0,2,1
Choreutis Chalcotoxa,0,1,1
Choreutis Chodzhajevi,0,1,1
Choreutis Collapsa,0,1,1
Choreutis Diana,0,7,3
Choreutis Dichlora,0,1,1
Choreutis Dryodora,0,1,1
Choreutis Euclista,0,1,1
Choreutis Flavimaculata,0,1,1
Choreutis Fulminea,0,1,1
Choreutis Ialeura,0,1,1
Choreutis Melophaga,0,2,1
Choreutis Nemorana,0,2,1
Choreutis Orthogona,0,4,2
Choreutis Pariana,0,13,3
Choreutis Sycopola,0,2,1
Choreutis Tigroides,0,1,1
Choreutis Vinosa,0,2,1
Choristoneura,0.8461538461538461,136,276
Chorodna,0,2,2
Chortodes,0.7142857142857143,8,12
Chretienia,0,1,1
Christophia,0,3,3
Chrysanympha,1,1,3
Chrysartona,1,1,2
Chrysaster,1,2,5
Chrysiridia,1,2,2
Chrysobotys,1,6,8
Chrysocentris,0,1,1
Chrysocercops,0.38461538461538464,13,19
Chrysocraspeda,0.16666666666666666,6,7
Chrysodeixis,0.8333333333333334,71,136
Chrysoesthia,0.375,9,13
Chrysopeleia,1,2,2
Chrysoplectrum,0,2,2
Chrysopsyche,1,6,8
Chrysorithrum,1,4,4
Chrysoritis,0,3,3
Chrysoteuchia,1,6,14
Chrysotypus,0,1,1
Chrysozephyrus,0.5625,18,69
Chundana,0,1,1
Churia,0,1,1
Chytolita,0.5,3,3
Chytonix,1,2,2
Ciampa,1,5,7
Cibyra,1,1,2
Cicia,0,1,1
Cicinnus,0.42857142857142855,10,14
Cidaria,0.5,3,4
Cigaritis,0,3,2
Cilix,0.5,3,5
Cimeliomorpha,0,1,1
Cimitra,0,1,1
Cinabra,1,3,5
Cinclidia,1,4,10
Cingilia,1,19,46
Circobotys,0,1,1
Cirina,0.5,14,29
Cirrhochrista,0.25,5,5
Cirrhophanus,1,1,4
Cirrilaspeyresia,0,1,1
Cirriphora,0,1,1
Cirriphora Pharaonana,0,1,1
Cirrochroa,0,5,5
Cissia,0.3333333333333333,8,11
Cissusa,0,2,2
Citheronia,1,67,116
Citrinophila,0,2,2
Citripestis,1,7,22
Cizara,1,1,3
Cladara,1,8,27
Clania,0.5,10,13
Clanis,0.75,7,14
Clarkeulia,0.8333333333333334,14,15
Clavigesta,1,2,5
Clavipalpula,1,1,4
Clelea,0,2,2
Cleonymia,0,2,2
Cleora,0.6086956521739131,88,113
Cleorodes,0,1,1
Cleosiris,0,2,2
Clepsis,0.7142857142857143,98,144
Clethrophora,0,1,1
Clossiana,0.8125,41,82
Clydonopteron,0.5,2,3
Clytie,0.6,7,8
Cnaemidophorus,0,3,3
Cnaphalocrocis,0.6,15,57
Cnephasia,0.5789473684210527,92,144
Cnesteboda,1,2,3
Cnidocampa,1,10,18
Cnodontes,0,1,1
Coarica,0,1,1
Cobalus,0.3333333333333333,3,4
Cobubatha,0,1,1
Coccidiphaga,1,9,24
Coccidiphila,1,2,6
Coccothera,1,1,2
Cochisea,1,2,2
Cochylidia,0.7142857142857143,8,27
Cochylimorpha,0.5555555555555556,9,15
Cochylis,0.5,22,49
Coconympha,1,2,3
Cocytius,0.6666666666666666,5,9
Codatractus,1,1,2
Codatractus Alcaeus,0,2,1
Codonodes,0,1,1
Coeliades,0.6,31,48
Coelites,0,1,1
Coelonia,1,16,37
Coelopoeta,0.5,2,4
Coelostathma,0,1,1
Coenina,1,3,4
Coenipeta,0,1,1
Coenobasis,0.5,3,3
Coenobia,1,1,2
Coenocalpe,1,3,3
Coenodomus,1,2,3
Coenonympha,0.875,14,50
Coenophila,1,5,8
Coenotes,1,9,15
Coenyra,0,1,1
Coequosa,1,1,4
Cogia,0.3333333333333333,6,7
Coleophora,0.42165242165242167,434,662
Coleotechnites,0.40425531914893614,53,84
Colias,0.8461538461538461,41,205
Collicularia,0,1,1
Collinsa,0.5,3,3
Collix,1,3,3
Colobochyla,0.5,2,3
Colobura,1,7,9
Colocleora,0.6,15,19
Coloradia,0.6666666666666666,4,16
Colostygia,0,4,4
Colotis,0.6097560975609756,49,118
Colotois,1,8,15
Comadia,0,4,4
Comana,0,1,1
Comibaena,0.38461538461538464,26,31
Commophila,1,1,2
Commotria,0,1,1
Comocritis,0.5,8,10
Comocrus,1,2,3
Comostola,0.5,13,14
Compactena,0.5,4,5
Compsoctena,0.25,6,6
Compsolechia,0.16666666666666666,6,8
Compsoptera,1,1,2
Concaedes,1,3,5
Conchylodes,0.3333333333333333,4,4
Condica,0.5,25,65
Condylolomia,1,2,2
Condylorrhiza,1,3,3
Condylorrhiza Vestigialis,0,4,3
Conga,0,1,1
Conicofrontia,0,1,1
Coniesta,1,1,7
Coniostola,1,1,5
Conisania,0,1,1
Conistra,0.7333333333333333,32,44
Connection_failed,0,1,1
Conobathra,0.75,6,8
Conochares,0,2,2
Conocramboides,0,2,2
Conogethes,0.8333333333333334,50,85
Conopomorpha,0.42857142857142855,12,19
Conopomorphina,0,1,1
Conservula,0,3,3
Consul,1,1,7
Contrafacia,0,1,1
Cooksonia,0,2,2
Cooksonia Aliciae,0,1,1
Cooksonia Neavei,0,1,1
Copablepharon,0.25,4,5
Copaeodes,0.5,2,3
Copamyntis,1,6,11
Copaxa,0.375,22,30
Copiopteryx,1,2,3
Copitarsia,0.5,8,9
Copivaleria,0,1,1
Coptarthria,0,1,1
Coptobasis,1,7,8
Coptodisca,0.16666666666666666,19,24
Corcyra,1,20,37
Cordelia,0.5,2,4
Coreana,1,2,4
Corethrovalva,0,2,2
Corgatha,0.16666666666666666,8,7
Cornicacoecia,1,5,7
Cornifrons,0,1,1
Cornutiplusia,1,7,6
Correbia,0,1,1
Correbia Lycoides,0,1,1
Corsa,0,1,1
Corsocasis,0,1,1
Corticea,0,1,1
Corticivora,0,1,1
Cortyta,0,2,2
Corymica,0.3333333333333333,3,5
Corynophora,0,1,1
Coryphista,1,1,3
Coryphodema,1,4,7
Corythangela,1,1,2
Coscinocera,1,5,5
Cosmardia,0,1,1
Cosmetra,0,1,1
Cosmia,1,28,48
Cosmiotes,0.7142857142857143,7,20
Cosmoclostis,0,3,3
Cosmodes,1,2,2
Cosmopterix,0.47368421052631576,48,78
Cosmopterix?,0,1,1
Cosmorhoe,0,1,1
Cosmotriche,1,2,7
Cossula,0.5,4,5
Cossus,0.375,33,53
Costaconvexa,0,2,2
Cosuma,1,3,3
Cotachena,0,1,1
Cotana,0,2,2
Crambodes,0,1,1
Crambus,0.46153846153846156,14,19
Crameria,0,1,1
Craniophora,0.6666666666666666,5,7
Crasimorpha,0,1,1
Craspia,0,1,1
Crassivesica,1,3,3
Cremastobombycia,0.6666666666666666,6,16
Cremnophora,0,1,1
Creobota,0,1,1
Creobota Coccophthora,0,1,1
Creon,1,2,4
Cretonia,0.5,3,4
Cricula,0.6666666666666666,27,44
Crinocraspeda,1,1,2
Crioa,0,1,1
Crionica,0,1,1
Crithote,1,1,2
Crobylophora,0.3333333333333333,3,6
Crocallis,1,11,19
Crocidolomia,0.3333333333333333,9,23
Crocidophora,0.5,5,7
Crocidosema,0.6,13,36
Crocigrapha,1,11,25
Crombergia,1,2,2
Crombrugghia,0.2,5,6
Croniades,1,1,2
Cropia,0,1,1
Crothaema,1,1,2
Crudaria,1,3,3
Cruria,1,4,4
Cryphia,0.3333333333333333,12,19
Cryphiomystis,0.3333333333333333,4,4
Crypsedra,1,1,5
Crypsicometa,0,1,1
Crypsiptya,1,4,17
Crypsithyris,0.3333333333333333,7,7
Cryptaspasma,0,1,1
Cryptoblabes,0.8181818181818182,63,99
Cryptoblabes?,1,4,4
Cryptocala,0.5,6,6
Cryptochorina,1,2,4
Cryptolectica,0.3333333333333333,3,4
Cryptomeria,1,2,3
Cryptophlebia,0.5294117647058824,46,121
Cryptoptila,1,11,11
Cryptothelea,0.5833333333333334,39,47
Cryptothripa,0,1,1
Ctenocompa,0,1,1
Ctenolita,0.6666666666666666,6,6
Ctenomedes,1,2,2
Ctenomeristis,1,1,2
Ctenoplusia,1,4,6
Ctenopseustis,0.5,14,16
Cucullia,0.5357142857142857,71,127
Cudonigera,1,1,2
Culama,0,2,2
Culcula,1,2,2
Culladia,1,2,4
Culpinia,1,2,2
Cupedia,0,1,1
Cupha,0.6666666666666666,8,16
Cuphodes,0,3,3
Cupido,0.3333333333333333,4,8
Cupidopsis,1,4,6
Cupitha,1,2,4
Cuproxena,0,1,1
Curetis,0.5555555555555556,15,18
Curtorama,1,2,2
Curvisacculus,0,1,1
Cusiala,0.6666666666666666,11,13
Cutina,0,4,4
Cyaniris,0.5,4,6
Cyanophrys,0.25,9,5
Cyclargus,0,1,1
Cyclidia,0,1,1
Cyclocena,0,1,1
Cyclodes,1,1,2
Cycloglypha,0.5,3,4
Cyclogramma,0,1,1
Cyclomia,0,2,2
Cyclophora,0.5,20,28
Cyclophragma,0.4,5,12
Cycloplasis,0.5,2,3
Cyclosemia,0,2,2
Cyclosia,0.8,12,18
Cyclyrius,1,3,4
Cycnus,0,1,1
Cydalima,0.6666666666666666,11,20
Cydia,0.5087719298245614,154,279
Cydia?,0,1,1
Cydosia,1,2,3
Cyligramma,1,2,3
Cyllopsis,0.5,2,3
Cymaenes,0.6666666666666666,4,10
Cymatogramma,0,1,1
Cymatopacha,1,1,2
Cymatophora,1,3,4
Cymatophorina,0,1,1
Cymolomia,0.5,3,9
Cymothoe,0.3333333333333333,20,26
Cymotricha,0,1,1
Cynaeda,1,1,3
Cynandra,0,1,1
Cypa,0,1,1
Cyphosticha,0,2,2
Cyphura,0.5,2,3
Cyrestis,0.5714285714285714,8,37
Cystidia,0.3333333333333333,8,15
Dacryphanes,0,1,1
Dactylethrella,1,2,6
Dactylioglypha,1,1,3
Dactyloceras,0,1,1
Daemilus,1,2,2
Dahlica,0,3,3
Daimio,1,3,4
Dalaca,0,2,2
Dalcera,1,7,7
Dalcerina,1,4,5
Damora,0,1,1
Danaus,0.75,30,170
Danis,0,1,1
Daphnis,1,16,45
Daphnusa,0,1,1
Dapidodigma,1,3,2
Dappula,1,9,11
Darapsa,1,12,27
Darapsa Choerilus,0,16,5
Darapsa Myron,0,7,2
Darapsa Versicolor,0,13,5
Dargida,0.3333333333333333,5,12
Darisodes,0,1,1
Darna,0.46153846153846156,99,130
Darna Bornesordida,0,2,1
Darna Bradleyi,0,1,1
Darna Catenatus,0,5,2
Darna Diducta,0,29,11
Darna Diducta?,0,1,1
Darna Furva,0,5,2
Darna Metaleuca,0,2,2
Darna Mindanensis,0.3333333333333333,4,4
Darna Nararia,0,24,18
Darna Nemacera,0,1,1
Darna Ochracea,0,6,5
Darna Pallivitta,0,8,5
Darna Sordida,0,12,7
Darna Trima,0,29,17
Darna Tuaranensis,0,1,1
Dasodis,0,1,1
Dasyboarmia,0,1,1
Dasygaster,0.5,2,3
Dasyophthalma,1,2,2
Dasypolia,1,1,4
Dasypyga,1,2,5
Dasyses,1,19,25
Datanoides,1,1,5
Daulia,0,1,1
Dausara,0,1,1
Davara,1,3,3
Deanolis,1,2,4
Deborrea,0.5,4,4
Decachorda,1,1,2
Declana,1,7,15
Decodes,0.5,9,21
Degia,0.6,11,11
Deidamia,1,2,6
Deilephila,1,13,29
Deileptenia,1,3,5
Dejongia,1,2,4
Delgamma,0,1,1
Delgamma Pangonia,0,1,1
Delias,0.7142857142857143,42,72
Deloneura,0.5,7,7
Deltinea,0.8571428571428571,22,25
Deltophora,0,1,1
Deltote,1,4,9
Demopsestis,1,1,2
Denaeantha,0,1,1
Dendrolimus,0.4,12,23
Dendrophilia,0,5,5
Dendropsyche,0,1,1
Dendrorycter,0,1,1
Deoclona,0,1,1
Deoptilia,0,1,1
Derambila,0,1,1
Dercas,0,1,1
Descoreba,1,6,13
Desmia,0.5,6,9
Desmolycaena,0,1,1
Deudorix,0.7916666666666666,104,150
Deuterocopus,0.4,6,7
Deuterollyta,0.2,5,11
Deuterophysa,0,2,2
Diachrysia,0.75,16,19
Diacme,0,1,1
Diacrotricha,1,1,2
Diactenis,0,1,1
Diaethria,0.5,7,12
Dialectica,0.5,9,14
Diapalpus,0.5,8,8
Diaphania,0.6666666666666666,32,77
Diaphanopsyche,0,1,1
Diaphone,1,7,12
Diarsia,0.6428571428571429,40,45
Diasemia,0,2,2
Diastema,0,1,1
Diastictis,0,1,1
Diataga,1,2,2
Diatenes,0,1,1
Diatraea,0.48484848484848486,35,75
Dicanticinta,0,1,1
Dicephalarcha,1,1,2
Diceratura,0.5,3,3
Dichelia,1,1,3
Dichelopa,0,2,2
Dichocrocis,0.3333333333333333,12,12
Dichogama,0.3333333333333333,3,5
Dichomeris,0.45217391304347826,154,281
Dichonia,0.25,5,5
Dichorda,0.5,2,4
Dichordophora,1,1,2
Dichordophora Phoenix,0,2,1
Dichorragia,1,3,10
Dichromia,0,1,1
Dichromodes,1,2,4
Dichrorampha,0.44,27,40
Dicogaster,1,1,2
Dicranoctetes,0.5,2,4
Dicymolomia,1,5,5
Didrimys,1,1,3
Didymaeformia,0.5,16,34
Digglesia,0.3333333333333333,5,7
Digitivalva,0,2,2
Dilipa,0,1,1
Diloba,1,1,12
Dilophothripa,0.5,4,4
Dilophothripa?,0,1,1
Dindica,1,2,6
Dingana,0,1,1
Dinumma,0.3333333333333333,4,6
Diomea,0,2,2
Diomea Cremata,0,1,1
Diomea Rotundata,0,1,1
Dione,0.75,4,36
Diophila,0,1,1
Dioriste,0,1,1
Dioryctria,0.3888888888888889,58,139
Diparopsis,0.3333333333333333,4,4
Dipha,1,2,4
Diphthera,1,4,5
Diphtheroptila,0,1,1
Dipleurina,0,1,1
Diplodesma,1,2,2
Diplonearcha,0,1,1
Diprotochaeta,0,1,1
Dipterygina,0,2,2
Diptychis,1,2,2
Dira,1,4,11
Dirades,1,2,5
Dircenna,1,3,17
Dirphia,0.6,30,40
Dirphiopsis,0.6666666666666666,10,10
Discalma,0,2,2
Discestra,0.5714285714285714,27,48
Dischidesia,0,1,1
Disclisioprocta,0.5,3,7
Discolampa,1,1,4
Discoloxia,0,1,1
Discophlebia,0,1,1
Discophora,0.6666666666666666,6,13
Dismorphia,0.75,5,9
Dissoctena,0,1,1
Ditula,1,18,24
Divitiaca,0,1,1
Dixeia,0,5,5
Dodonidia,1,2,4
Dolba,1,8,13
Dolbina,1,1,3
Doleschallia,0.5,7,23
Dolicharthria,0,2,2
Dolichobela,0,1,1
Dolichomia,1,1,5
Dollmania,1,2,3
Doloessa,0.5,15,19
Doloploca,0,1,1
Donacaula,0.5,6,8
Donacoscaptes,0,4,4
Donda,0.5,5,6
Donuca,0,1,1
Dophla,1,4,6
Dophla Evelina,0,8,4
Dorata,0,1,1
Doratifera,0.5714285714285714,13,24
Dorithia,0.6666666666666666,4,5
Dorodoca,0,1,1
Doryodes,0,2,2
Dovania,1,2,2
Doxocopa,0.375,9,13
Dracaenura,0,1,1
Drapetodes,1,2,2
Drasteria,0.14285714285714285,15,16
Draudtia,0,1,1
Drepana,1,12,29
Drepanodes,0,1,1
Drepanofoda,0,1,1
Drepanulatrix,0.125,8,10
Drephalys,0,2,2
Drimylastis,0.5,8,10
Drosica,0,1,1
Druentica,0,2,2
Drupadia,1,12,8
Dryadaula,0.4,10,10
Dryadaula Pactolia,0,2,2
Dryadaula Terpsichorella,0,5,5
Dryadaula Tetraglossa,0,1,1
Dryadula,1,1,14
Dryadula Phaetusa,0,15,1
Dryas,1,2,33
Drymiarcha,0,1,1
Dryobota,0,1,1
Dryobotodes,0,6,6
Dryocampa,1,4,11
Dryochlora,1,2,2
Dryotype,0,1,1
Dubiella,0,1,1
Dudua,0.3333333333333333,26,41
Dulcedo,1,1,2
Duomitus,0,2,2
Duponchelia,1,3,3
Durbania,0,7,4
Durbaniopsis,0,1,1
Dymasia,1,1,2
Dynamine,0.5,10,19
Dynastor,0.6666666666666666,4,11
Dyops,0.6666666666666666,3,5
Dyotopasta,1,2,4
Dypterygia,0.6666666666666666,5,8
Dyrzela,1,1,2
Dysaethria,0,5,5
Dysallacta,1,2,2
Dyscia,1,1,2
Dyscia Fagaria,0,2,1
Dyscophellus,0.5,6,8
Dysdaemonia,0.6666666666666666,7,8
Dyseriocrania,0.5,2,8
Dysgonia,0.30303030303030304,46,57
Dysmilichia,0,1,1
Dysodia,0.7,18,23
Dyspessa,1,1,2
Dysphania,0.3333333333333333,8,9
Dysphylia,0,1,1
Dyspteris,1,1,2
Dysstroma,0.25,20,26
Eacles,0.75,69,168
Eacles Canaima,0,1,1
Eacles Ducalis,0,6,5
Eacles Imperialis,0,146,39
Eacles Lemairei,0,1,1
Eacles Masoni,0,2,2
Eacles Ormondei,0,3,2
Eacles Oslari,0,18,8
Eacles Penelope,0,15,11
Eagris,0.75,9,11
Eagris Decastigma,0,1,1
Eagris Lucetia,0,5,2
Eagris Nottoana,0,6,3
Eagris Sabadius,0,5,3
Eana,0.6666666666666666,17,16
Earias,0.6842105263157895,42,130
Eboda,0,2,2
Ebulea,0,1,1
Ebusus,1,1,2
Ecclitica,0,1,1
Eccopsis,0.6666666666666666,4,5
Eccoptocera,0.5,3,5
Ecdytolopha,0.5714285714285714,14,16
Echinoscelis,0,1,1
Ecliptopera,0.5,3,4
Ecliptoptera,0.5,3,4
Ecpatia,0.5,3,4
Ecpetelia,0,1,1
Ectima,0,2,2
Ectoedemia,0.2916666666666667,100,168
Ectohomeosoma,0,1,1
Ectomyelois,0.75,26,49
Ectomyelois?,0,1,1
Ectropina,0,4,4
Ectropis,0.6363636363636364,105,168
Edessena,0,1,1
Egira,0.6,48,65
Egnasia,0.5,2,4
Egybolis,1,4,7
Eicochrysops,1,7,9
Eidophasia,1,1,2
Elachista,0.390625,64,127
Elaphria,1,28,43
Elasmopalpus,0.5,26,46
Elatobia,0,1,1
Elatobia Carbonella,0,1,1
Elbella,0.75,5,7
Elcysma,0,1,1
Eldana,1,3,6
Electrophaes,1,3,5
Electrostrymon,0,2,2
Elegia,0.3333333333333333,3,4
Elibia,0,1,1
Eligma,1,1,3
Elina,0,1,1
Eliotia,1,1,2
Elodina,0,1,1
Eloeidiphilos,0,1,1
Elophila,0.6,27,27
Elpiste,1,3,4
Elusa,0,1,1
Elymnias,0.25,14,35
Emarginea,1,1,2
Ematheudes?,0,1,1
Ematurga,1,16,33
Embryonopsis,0,1,1
Embryonopsis Halticella,0,1,1
Emesis,0.6,10,10
Emmalocera,0.3333333333333333,3,4
Emmelia,1,2,2
Emmelina,1,8,20
Emmetia,0,2,2
Empedaula,0,1,1
Emrahia,1,2,2
Enargia,0.6666666666666666,9,17
Enarmonia,0.2,12,21
Enarmoniodes,0,1,1
Encolpotis,1,3,3
Endoclita,0.8888888888888888,80,106
Endopiza,0.5,10,16
Endothenia,0.5263157894736842,35,59
Endotricha,0.4,6,8
Endropiodes,0.5,3,3
Enigmogramma,1,2,2
Enispa,0,2,2
Ennomos,0.75,41,81
Enodia,0.3333333333333333,4,5
Enolmis,0,1,1
Enosis,0,1,1
Enpinanga,0,2,2
Entephria,0.5,8,14
Enteucha,1,1,3
Entheus,0.3333333333333333,3,4
Entometa,0,3,3
Entomogramma,0,1,1
Entomopteryx,0,1,1
Enyo,0.6666666666666666,8,12
Enypia,1,6,26
Eoasthena,0,1,1
Eochroa,1,1,3
Eogenes,0,1,1
Eois,0,1,1
Eoophyla,0,1,1
Eooxylides,1,1,2
Eoparargyractis,1,1,2
Eoreuma,1,1,4
Eosphoropteryx,1,2,4
Epagoge,1,3,4
Epalxiphora,0,1,1
Epargyreus,1,13,43
Epelis,1,1,2
Epermenia,0.5555555555555556,18,40
Ephestia,0.6666666666666666,33,39
Ephestiodes,1,5,6
Epholca,1,4,4
Ephormotris,0,1,1
Ephyriades,0.6666666666666666,5,8
Ephyrodes,0,1,1
Ephyrodes Omicron,0,1,1
Ephysteris,0.5,8,15
Epiblema,0.39473684210526316,48,69
Epicampoptera,0,8,8
Epicephala,0,10,10
Epichnopterix,0,2,2
Epichorista,0.3333333333333333,6,8
Epichoristodes,1,5,6
Epicorsia,1,6,10
Epicrocis,0.5,2,4
Epicroesa,0,2,2
Epidemia,1,9,26
Epidesmia,0.5,2,4
Epidola,0,1,1
Epiglaea,0.5,3,5
Epigynopteryx,0.2,6,6
Epimarptis,1,3,3
Epimartyria,0.5,2,5
Epimecia,0,1,1
Epimecis,0.5,5,7
Epimimastis,0,1,1
Epimorius,0,1,1
Epinotia,0.6095238095238096,161,274
Epione,0.5,3,6
Epiorna,0,2,2
Epipagis,0.3333333333333333,4,4
Epipaschia,0,1,1
Epiphile,0.5,2,4
Epiphora,0.6666666666666666,15,25
Epiphryne,1,1,2
Epiphyas,0.45454545454545453,47,61
Epiplema,0.5,4,8
Epipsestis,1,1,7
Epirranthis,0.6666666666666666,4,8
Epirrhoe,0.4444444444444444,9,16
Epirrita,1,26,64
Episcada,0.5,2,3
Epischnia,0.4,5,8
Episema,0.5,3,3
Episimus,0.5,17,23
Episothalma,0.5,2,3
Episparis,0.6666666666666666,5,5
Episteira,0,2,2
Episteme,0.6666666666666666,10,11
Epitola,0.13333333333333333,17,17
Epityches,1,1,3
