taxa,prop_generalist,n_host_families,n_host_species
Acleris Crocopepla,0,2,1
Acleris Curvalana,0,5,1
Acleris Dealbata,0,1,1
Acleris Delicatana,0,2,2
Acleris Emargana,0,11,5
Acleris Enitescens,0,2,1
Acleris Exsucana,0,2,2
Acleris Extensana,0,4,1
Acleris Ferrugana,0,8,4
Acleris Fimbriana,0,6,3
Acleris Flavivittana,0,2,1
Acleris Foliana,0,4,1
Acleris Forbesana,0,1,1
Acleris Forsskaleana,0,1,1
Acleris Fragariana,0,8,2
Acleris Fuscana,0,5,2
Acleris Fuscotogata,0,1,1
Acleris Gloveranus,0,6,1
Acleris Gossypiella,0,1,1
Acleris Hastiana,0,22,7
Acleris Hippophaeana,0,1,1
Acleris Hispidana,0,1,1
Acleris Holmiana,0,10,2
Acleris Hudsoniana,0,5,3
Acleris Hyemana,0,6,2
Acleris Implexana,0,3,1
Acleris Inana,0,2,2
Acleris Issikii,0,3,1
Acleris Japonica,0,1,1
Acleris Kearfottana,0,4,2
Acleris Keiferi,0,3,1
Acleris Laterana,0,10,3
Acleris Leechi,0,2,1
Acleris Lipsiana,0,9,5
Acleris Literana,0,8,5
Acleris Logiana,0,9,4
Acleris Lorquiniana,0,1,1
Acleris Maccana,0,12,6
Acleris Macdunnoughi,0,4,3
Acleris Maculidorsana,0,7,3
Acleris Maximana,0,9,3
Acleris Minuta,0,13,4
Acleris Nigrilineana,0,1,1
Acleris Nigrolinea,0,6,3
Acleris Nivisellana,0,7,1
Acleris Notana,0,2,2
Acleris Orphnocycla,0,5,3
Acleris Oxycoccana,0,3,2
Acleris Paradiseana,0,2,1
Acleris Perfundana,0,3,2
Acleris Permutana,0,6,2
Acleris Phantastica,0,1,1
Acleris Platynotana,0,5,3
Acleris Quercinana,0,1,1
Acleris Quinquefasciana,0,1,1
Acleris Rhombana,0,13,4
Acleris Robinsoniana,0,2,2
Acleris Roscidana,0,1,1
Acleris Rufana,0,8,3
Acleris Schalleriana,0,9,5
Acleris Semiannula,0,4,1
Acleris Semipurpurana,0,9,3
Acleris Senescens,0,5,3
Acleris Shepherdana,0,2,1
Acleris Similis,0,1,1
Acleris Sparsana,0,10,5
Acleris Striatana,0,1,1
Acleris Submaccana,0,3,2
Acleris Subnivana,0,3,2
Acleris Tigricolor,0,1,1
Acleris Tripunctana,0,10,6
Acleris Ulmicola,0,2,1
Acleris Umbrana,0,9,5
Acleris Undulana,0,2,1
