pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast
66,genera,Mesoxantha,Neptidopsis,-5.828325809730801,-5.624047506637347,-1.9134255340938262,-1.8370037275588975,genus,genus,1.6094379124341003,1.3862943611198906,1,3,0,0.6154797086703873,0,1.0986122886681098,0,1.3862943611198906,5,4,Mesoxantha - Neptidopsis,1,0.8999999999999999,-0.20427830309345385,-0.0764218065349287,-1.3862943611198906,0.2231435513142097,-1.0986122886681098,-0.6154797086703873
67,genera,Batesia,Panacea,-5.030735965803259,-6.781122628048771,-2.5051909930907073,-3.2459130589366065,genus,genus,1.3862943611198906,2.6390573296152584,0,0,NA,NA,NA,NA,NA,NA,4,14,Batesia - Panacea,-1,0,-1.7503866622455124,-0.7407220658458993,NA,1.2527629684953678,NA,NA
69,genera,Diaethria,Perisama,-6.429659479839065,-5.838571801004839,-2.5906805842249283,-2.7829461759562166,genus,genus,4.07753744390572,4.59511985013459,5,0,0.7853981633974484,NA,1.9459101490553132,NA,2.4849066497880004,NA,59,99,Diaethria - Perisama,-1,0,0.5910876788342261,-0.19226559173128832,NA,0.5175824062288701,NA,NA
70,genera,Chersonesia,Cyrestis,-4.877897966658061,-4.911831225037675,-1.2791526327637035,-1.4580739690954194,genus,genus,2.70805020110221,4.736198448394496,2,6,0.7853981633974484,0.8570719478501309,0.6931471805599453,2.0794415416798357,1.791759469228055,3.6109179126442243,15,114,Chersonesia - Cyrestis,-1,1.6036492650785605,-0.03393325837961392,-0.17892133633171592,1.8191584434161694,2.0281482472922856,1.3862943611198904,0.07167378445268247
71,genera,Symbrenthia,Mynes,-5.371318259432527,-4.724855028934071,-1.250554409158992,-1.5262601242650913,genus,genus,4.007333185232471,3.58351893845611,4,1,1.5707963267948966,1.5707963267948966,1.6094379124341003,0,3.1780538303479458,1.0986122886681098,55,36,Symbrenthia - Mynes,1,0.8089887640449438,-0.6464632304984557,0.2757057151060993,2.079441541679836,0.42381424677636126,1.6094379124341003,0
73,genera,Metamorpha,Anartia,-5.101764227507358,-5.050520227795171,-1.5594199309124133,-1.373796782209929,genus,genus,0.6931471805599453,2.995732273553991,0,4,0,0.8860771237926137,0,2.4849066497880004,0,3.5553480614894135,2,20,Metamorpha - Anartia,-1,0,0.05124399971218718,0.1856231487024842,3.5553480614894135,2.3025850929940455,2.4849066497880004,0.8860771237926137
74,genera,Anetia,Lycorea,-5.300118988494665,-5.7199118565860845,-2.5629633309184814,-2.461393268803361,genus,genus,1.9459101490553132,3.367295829986474,2,2,0.7853981633974484,0.9553166181245093,0.6931471805599453,2.1972245773362196,1.0986122886681098,2.833213344056216,7,29,Anetia - Lycorea,-1,1.1125827814569536,-0.41979286809141936,0.10157006211512032,1.7346010553881064,1.421385680931161,1.5040773967762742,0.1699184547270609
75,genera,Idea,Euploea,-6.995494193290144,-6.402143222269034,-2.3308919792095804,-2.313635929181131,genus,genus,4.31748811353631,6.342121418721152,6,25,0.7137243789447656,0.9553166181245093,2.302585092994046,3.828641396489095,2.4849066497880004,4.955827057601261,75,568,Idea - Euploea,-1,5.162295239290433,0.5933509710211098,0.017256050028449543,2.4709204078132605,2.0246333051848415,1.5260563034950492,0.2415922391797437
76,genera,Caerois,Morpho,-4.819849658890171,-5.121175869795624,-0.9933310761546947,-0.9595166551839469,genus,genus,1.3862943611198906,5.648974238161206,0,16,NA,1.122963929865964,NA,3.6888794541139363,NA,4.174387269895637,4,284,Caerois - Morpho,-1,0,-0.30132621090545264,0.03381442097074783,NA,4.2626798770413155,NA,NA
77,genera,Amathusia,Amathuxidia,-6.732961988608974,-5.81516106263959,-2.672287382658688,-2.366110793873924,genus,genus,3.7612001156935624,2.6390573296152584,2,0,0.7853981633974484,NA,1.791759469228055,NA,2.6390573296152584,NA,43,14,Amathusia - Amathuxidia,1,0,-0.9178009259693836,-0.3061765887847643,NA,1.122142786078304,NA,NA
