Family,Genus,Species,Host_family,Host_name
,,,,
Hesperiidae,Pyrgus,Pyrgus albescens,Malvaceae,Malvella leprosa
,,,,
Hesperiidae,Pyrgus,Pyrgus albescens,Malvaceae,Sidalcea
,,,,
Hesperiidae,Pyrgus,Pyrgus alveus,Rosaceae,Agrimonia
,,,,
Hesperiidae,Pyrgus,Pyrgus alveus,Polygalaceae,Polygala
,,,,
Hesperiidae,Pyrgus,Pyrgus alveus,Rosaceae,Potentilla
,,,,
Hesperiidae,Pyrgus,Pyrgus americanus,Malvaceae,Sida rhombifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus andromedae,Rosaceae,Alchemilla glomerulans
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Fragaria virginiana
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Potentilla canadensis
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Potentilla diversifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Rubus chamaemorus
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Rubus chamaemorus
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Rubus chamaemorus
,,,,
Hesperiidae,Pyrgus,Pyrgus centaureae,Rosaceae,Fragaria
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Abutilon theophrasti
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Alcea rosea
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Althaea officinalis
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Anoda
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Callirhoe leiocarpa
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Chenopodiaceae,Chenopodium album
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Eremalche rotundifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Hibiscus trionum
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva moschata
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva neglecta
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva nicaeensis
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva parviflora
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva rotundifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva sylvestris
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malvastrum coromandelianum
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malvella leprosa
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Modiola caroliniana
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sida abutifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sida lindheimeri
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sida rhombifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sida spinosa
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sidalcea cusickii
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sidalcea glaucescens
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sidalcea malviflora
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sidalcea neomexicana
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sidalcea oregana
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea ambigua
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea angustifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea angustifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea coccinea
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea lindheimeri
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea munroana
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sphaeralcea parvifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Malva parviflora
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Pavonia hastata
,,,,
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Pavonia spinifex
,,,,
