Family,Genus,Species,Host_family,Host_name
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Horkelia bolanderi
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Horkelia fusca
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Horkelia fusca
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Potentilla
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Potentilla drummondii
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Potentilla fusca
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Malvaceae,Sidalcea
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Malvaceae,Sidalcea malviflora
,,,,
Hesperiidae,Pyrgus,Pyrgus ruralis,Rosaceae,Horkelia tenuiloba
,,,,
Hesperiidae,Pyrgus,Pyrgus scriptura,Malvaceae,Malvella leprosa
,,,,
Hesperiidae,Pyrgus,Pyrgus scriptura,Malvaceae,Malvella leprosa
,,,,
Hesperiidae,Pyrgus,Pyrgus scriptura,Malvaceae,Malvella leprosa
,,,,
Hesperiidae,Pyrgus,Pyrgus scriptura,Malvaceae,Sphaeralcea ambigua
,,,,
Hesperiidae,Pyrgus,Pyrgus scriptura,Malvaceae,Sphaeralcea coccinea
,,,,
Hesperiidae,Pyrgus,Pyrgus spp.,Malvaceae,Malva
,,,,
Hesperiidae,Pyrgus,Pyrgus xanthus,Rosaceae,Potentilla pulcherrima
,,,,
Hesperiidae,Staphylus,Staphylus ascalon,Bignoniaceae,Paragonia pyramidata
,,,,
Hesperiidae,Staphylus,Staphylus azteca,Amaranthaceae,Achyranthes aspera
,,,,
Hesperiidae,Staphylus,Staphylus azteca,Amaranthaceae,Celosia nitida
,,,,
Hesperiidae,Staphylus,Staphylus hayhurstii,Amaranthaceae,Alternanthera
,,,,
Hesperiidae,Staphylus,Staphylus hayhurstii,Amaranthaceae,Alternanthera flavescens
,,,,
Hesperiidae,Staphylus,Staphylus hayhurstii,Amaranthaceae,Amaranthus
,,,,
Hesperiidae,Staphylus,Staphylus hayhurstii,Chenopodiaceae,Chenopodium
,,,,
Hesperiidae,Staphylus,Staphylus hayhurstii,Chenopodiaceae,Chenopodium album
,,,,
Hesperiidae,Staphylus,Staphylus mazans,Amaranthaceae,Achyranthes aspera
,,,,
Hesperiidae,Staphylus,Staphylus mazans,Amaranthaceae,Amaranthus retroflexus
,,,,
Hesperiidae,Staphylus,Staphylus mazans,Chenopodiaceae,Chenopodium album
,,,,
Hesperiidae,Staphylus,Staphylus mazans,Chenopodiaceae,Chenopodium ambrosioides
,,,,
Hesperiidae,Jemadia,Jemadia gnetus,Flacourtiaceae,
,,,,
Hesperiidae,Sarangesa,Sarangesa gaerdesi,Acanthaceae,Petalidium
,,,,
Hesperiidae,Sarangesa,Sarangesa motozi,Acanthaceae,Justicia
,,,,
Hesperiidae,Sarangesa,Sarangesa motozi,Acanthaceae,Justicia flava
,,,,
Hesperiidae,Sarangesa,Sarangesa motozi,Acanthaceae,Peristrophe
,,,,
Hesperiidae,Sarangesa,Sarangesa phidyle,Acanthaceae,Barleria
,,,,
Hesperiidae,Sarangesa,Sarangesa phidyle,Acanthaceae,Peristrophe
,,,,
Hesperiidae,Tagiades,Tagiades cohaerens,Dioscoreaceae,Dioscorea pseudojaponica
,,,,
Hesperiidae,Tagiades,Tagiades cohaerens,Dioscoreaceae,Dioscorea pseudojaponica
,,,,
Hesperiidae,Tagiades,Tagiades flesus,Dioscoreaceae,Dioscorea
,,,,
Hesperiidae,Tagiades,Tagiades flesus,Dioscoreaceae,Dioscorea
,,,,
Hesperiidae,Tagiades,Tagiades flesus,Dioscoreaceae,Dioscorea cotinifolia
,,,,
Hesperiidae,Tagiades,Tagiades flesus,Tiliaceae,Grewia
,,,,
Hesperiidae,Tagiades,Tagiades flesus,Tiliaceae,Grewia
,,,,
Hesperiidae,Tagiades,Tagiades gana,Dioscoreaceae,Dioscorea
,,,,
Hesperiidae,Tagiades,Tagiades gana,Dioscoreaceae,Dioscorea alata
,,,,
Hesperiidae,Tagiades,Tagiades gana,Dioscoreaceae,Dioscorea glabra
,,,,
Hesperiidae,Tagiades,Tagiades gana,Dioscoreaceae,Dioscorea
,,,,
Hesperiidae,Tagiades,Tagiades gana,Dioscoreaceae,Dioscorea glabra
,,,,
Hesperiidae,Tagiades,Tagiades japetus,Dioscoreaceae,Dioscorea alata
,,,,
Hesperiidae,Tagiades,Tagiades japetus,Dioscoreaceae,Dioscorea oppositifolia
,,,,
Hesperiidae,Tagiades,Tagiades japetus,Dioscoreaceae,Dioscorea wallichii
,,,,
Hesperiidae,Tagiades,Tagiades japetus,Dioscoreaceae,Dioscorea
,,,,
Hesperiidae,Tagiades,Tagiades litigiosa,Dioscoreaceae,Dioscorea cirrhosa
,,,,
