Genus,Name_data
PYTHONIDES,crameri Mabille & Boullet 1916 - Valid Name
,
PYTHONIDES,* suppar Draudt 1922 - Junior subjective synonym
,
PYTHONIDES,fabricii Kirby 1871 - Valid Name
,
PYTHONIDES,* pluvius Herrich-Schäffer 1869 - Junior subjective synonym
,
PYTHONIDES,* pseudojovianus Westwood 1852 - Junior subjective synonym
,
PYTHONIDES,juxta Bell 1934 - Valid Name
,
PYTHONIDES,lancea Hewitson 1868 - Valid Name
,
PYTHONIDES,lerina Hewitson 1868 - Valid Name
,
PYTHONIDES,* cohoerens Mabille & Boullet 1916 - Junior subjective synonym
,
PYTHONIDES,* lata Mabille & Boullet 1916 - Junior subjective synonym
,
PYTHONIDES,* zeus Plötz 1884 - Junior subjective synonym
,
PYTHONIDES,limaea Hewitson 1868 - Valid Name
,
PYTHONIDES,* caeruleus Plötz 1884 - Junior subjective synonym
,
PYTHONIDES,* jabesa Butler 1870 - Junior subjective synonym
,
PYTHONIDES,pteras Godman & Salvin 1895 - Valid Name
,
PYTHONIDES,mundo Freeman 1979 - Valid Name
,
PYTHONIDES,neivai Hayward 1940 - Valid Name
,
PYTHONIDES,parallelus Mabille 1897 - Valid Name
,
PYTHONIDES,* aequatoria Mabille 1904 - Junior subjective synonym
,
PYTHONIDES,* chalybaeus Hayward 1941 - Junior subjective synonym
,
PYTHONIDES,pescada Bell 1956 - Valid Name
,
PYTHONIDES,tullia Evans 1953 - Valid Name
,
PYTHONIDES,vicinus Mabille & Boullet 1916 - Valid Name
,
ACTIZERA,ACTIZERA Chapman 1910 - Valid Name
,
ACTIZERA,anisophthalma Kollar 1850 - Valid Name
,
ACTIZERA,atrigemmata Butler 1878 - Valid Name
,
ACTIZERA,grumi Forster  - Valid Name
,
ACTIZERA,lucida Trimen 1883 - Valid Name
,
ACTIZERA,panaegides Staudinger 1886 - Valid Name
,
ACTIZERA,panagaea Herrich-Schäffer 1851 - Valid Name
,
ACTIZERA,* anisophthalma Kollar 1848 - Junior subjective synonym
,
ACTIZERA,* endymion Freyer 1852 - Junior subjective synonym
,
ACTIZERA,ahasveros Bytinski-Salz 1937 - Valid Name
,
ACTIZERA,arsacia Lederer 1869 - Valid Name
,
ACTIZERA,taygetica Rebel 1902 - Valid Name
,
ACTIZERA,stellata Trimen 1883 - Valid Name
,
GAZERA,GAZERA Herrich-Schäffer 1853 - Valid Name
,
GAZERA,* CABIRUS Buchecker 1880 - Junior subjective synonym
,
GAZERA,dimorpha Röber  - Valid Name
,
GAZERA,dodona Druce 1896 - Valid Name
,
GAZERA,fassli Lathy  - Valid Name
,
GAZERA,heliconioides Herrich-Schäffer 1853 - Valid Name
,
GAZERA,omissus Rothschild 1919 - Valid Name
,
GAZERA,linoides Strand 1913 - Valid Name
,
GAZERA,linus Stoll 1779 - Valid Name
,
GAZERA,* obidonus Rothschild 1919 - Junior subjective synonym
,
GAZERA,* peruviana Strand 1913 - Junior subjective synonym
,
GAZERA,micha Druce 1896 - Valid Name
,
GAZERA,* michana Strand 1913 - Junior subjective synonym
,
ORIENTOZEUZERA,ORIENTOZEUZERA Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,brechlini Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,halmahera Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,meyi Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,roepkei Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,shiva Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,sympatrica Yakovlev 2011 - Valid Name
,
ORIENTOZEUZERA,celebensis Roepke 1957 - Valid Name
,
ORIENTOZEUZERA,aeglospila Turner 1915 - Valid Name
,
ORIENTOZEUZERA,* aglospila Dalla Torre 1923 - Incorrect subsequent spelling
,
ORIENTOZEUZERA,caudata Joicey & Talbot 1916 - Valid Name
,
ORIENTOZEUZERA,postexcisa Hampson 1893 - Valid Name
,
ORIENTOZEUZERA,quieta Turner 1932 - Valid Name
,
ORIENTOZEUZERA,rhabdota Jordan 1932 - Valid Name
,
PSEUDOZEUZERA,PSEUDOZEUZERA Schoorl 1990 - Valid Name
,
PSEUDOZEUZERA,biatra Hampson 1910 - Valid Name
,
PSEUDOZEUZERA,stenlii Yakovlev 2009 - Valid Name
,
TARSOZEUZERA,fuscipars Hampson 1892 - Valid Name
,
TARSOZEUZERA,* fuscipans Yakovlev 2004 - Incorrect subsequent spelling
,
TARSOZEUZERA,"* xanthitarsus Hua, Chou, Fang & Chen 1990 - Junior subjective synonym"
,
TARSOZEUZERA,TARSOZEUZERA Schoorl 1990 - Valid Name
,
TARSOZEUZERA,livingstoni Yakovlev 2006 - Valid Name
,
TARSOZEUZERA,miklukhomaklayi Yakovlev 2011 - Valid Name
,
TARSOZEUZERA,ustjuzhanini Yakovlev 2011 - Valid Name
,
TARSOZEUZERA,favizola Yakovlev 2006 - Valid Name
,
TARSOZEUZERA,kochi Semper 1896-1902 - Valid Name
,
ZERA,ZERA Evans 1953 - Valid Name
,
ZERA,belti Godman & Salvin 1894 - Valid Name
,
ZERA,eboneus Bell 1947 - Valid Name
,
ZERA,hyacinthinus Mabille 1877 - Valid Name
,
ZERA,gellius Mabille 1904 - Valid Name
,
ZERA,servius Plötz 1884 - Valid Name
,
ZERA,nolckeni Mabille 1891 - Valid Name
,
ZERA,* scybis Godman & Salvin 1894 - Junior subjective synonym
,
ZERA,phila Godman & Salvin 1894 - Valid Name
,
ZERA,hosta Evans 1953 - Valid Name
,
ZERA,tetrastigma Sepp 1848 - Valid Name
,
ZERA,erisichthon Plötz 1884 - Valid Name
,
ZERA,* menedemus Godman & Salvin 1894 - Junior subjective synonym
,
ZERA,* pelopea Godman & Salvin 1894 - Junior subjective synonym
,
ZERA,zera Butler 1870 - Valid Name
,
ZERA,* balma Plötz 1884 - Junior subjective synonym
,
ZERA,difficilis Weeks 1901 - Valid Name
,
ZERA,* concolor Mabille & Boullet 1916 - Junior subjective synonym
,
ZERA,* deflorata Draudt 1922 - Junior subjective synonym
,
ZERA,* latreilliana Mabille 1876 - Junior subjective synonym
,
ZERAFIA,ZERAFIA Strand 1915 - Valid Name
,
ZERAFIA,drymonides Strand 1914 - Valid Name
,
ZEUZERA,ZEUZERA Latreille 1804 - Valid Name
,
ZEUZERA,* AEGOLIA Billberg 1820 - Junior objective synonym
,
ZEUZERA,aetes Druce 1901 - Valid Name
,
ZEUZERA,lineata Gaede 1933 - Valid Name
,
ZEUZERA,masoni Schaus 1894 - Valid Name
,
ZEUZERA,multistrigata Moore 1881 - Valid Name
,
ZEUZERA,nepalense Daniel 1962 - Valid Name
,
ZEUZERA,nuristanensis Daniel 1964 - Valid Name
,
ZEUZERA,pantasema Lower 1915 - Valid Name
,
ZEUZERA,pyrina Linnaeus 1761 - Valid Name
,
ZEUZERA,* decipiens Kirby 1892 - Junior subjective synonym
,
