Superfamily,Family,Subfamily,Tribe,Genus
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ANTINEPHELE
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ATEMNORA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,BASIOTHIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,CECHENENA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,CENTROCTENA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,CHAEROCINA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,CIZARA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,CLARINA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,DAHIRA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,DAPHNIS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,DARAPSA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,DEIDAMIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,DEILEPHILA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ELIBIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ENPINANGA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,EUCHLORON
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,EUPANACRA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,EUPROSERPINUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,EURYPTERYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,GENUS UNKNOWN
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,GIGANTEOPALPUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,GNATHOTHLIBUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,GRISEOSPHINX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,HAYESIANA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,HIPPOTION
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,HYLES
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,HYPAEDALEA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,LEUCOSTROPHUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,MAASSENIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,MACROGLOSSUM
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,MICRACOSMERYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,MICROSPHINX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,NEPHELE
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ODONTOSIDA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,PERGESA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,PHANOXYLA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,PROSERPINUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,PSEUDENYO
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,PSEUDOANGONYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,RETHERA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,RHAGASTIS
,,,,
