dataset,pair_id,taxa,sequence_id,alignment_length,n_loci
genera,48,Outgroup,NW151_2_Anthocharis_cardamine,9648,7
genera,49,Baltia,MFB_00_P492_Baltia_butleri,11673,7
genera,49,Pontia,NP_99_T476_Pontia_helice,11673,7
genera,49,Outgroup,MFB_00_P170_Ascia_monuste,11673,7
genera,50,Belenois,DL_00_Q546_Belenois_java,10935,7
genera,50,Dixeia,SC_01_T400_Dixeia_charina,10935,7
genera,50,Outgroup,NW149_4_Aporia_crataegi,10935,7
genera,51,Cepora,MFB_00_P131_Cepora_perimale,10737,7
genera,51,Prioneris,DL_00_Q610_Prioneris_philonome,10737,7
genera,51,Outgroup,NW149_4_Aporia_crataegi,10737,7
genera,52,Delias,DL_01_N104_Delias_belladonna,8820,7
genera,52,Leuciacria,MFB_00_P468_Leuciacria_acuta,8820,7
genera,52,Outgroup,NW149_4_Aporia_crataegi,8820,7
genera,53,Calospila,NS0137_Calospila_rhesa,11871,7
genera,53,Setabis,NS0181_Setabis_,11871,7
genera,53,Outgroup,NS0462_Pandemus_pasiphae,11871,7
genera,54,Anteros,NS0386_Anteros_formosus,9927,7
genera,54,Helicopis,NS0347_Helicopis_cupido,9927,7
genera,54,Outgroup,NS0481_Mesenopsis_jordana,9927,7
genera,55,Riodina,NS0110_Riodina_lysisca,11655,7
genera,55,Notheme,NS0303_Notheme_erota,11655,7
genera,55,Outgroup,NS0316_Chorinea_amazon,11655,7
genera,56,Panara,NS0365_Panara_soana,11421,7
genera,56,Chorinea,NS0316_Chorinea_amazon,11421,7
genera,56,Outgroup,NS0108_Melanis_aegates,11421,7
genera,57,Harma,NW102_8_Harma_theobene,12357,7
genera,57,Cymothoe,NW102_16_Cymothoe_caenis,12357,7
genera,57,Outgroup,NW135_1_Lexias_pardalis,12357,7
genera,58,Euphaedra,NW95_16_Euphaedra_herberti,12771,7
genera,58,Bebearia,NW102_15_Bebearia_sophus,12771,7
genera,58,Outgroup,NW99_10_Euriphene_tadema_,12771,7
genera,59,Aterica,NW102_9_Aterica_galene,13131,7
genera,59,Euriphene,NW99_10_Euriphene_tadema_,13131,7
genera,59,Outgroup,NW107_18_Euryphura_chalcis,13131,7
genera,60,Eueides,KK_02_2001_Pe_Eueides_lybia,15201,7
genera,60,Heliconius,KK_NCS2556_FG_Heliconius_erato,15201,7
genera,60,Outgroup,KK_2921_P_Dryadula_phaetusa,15201,7
genera,61,Algiachroa,NW136_8_Algiachroa_woodfordi,13635,7
genera,61,Cirrochroa,NW131_6_Cirrochroa_tyche,13635,7
genera,61,Outgroup,DL01_Q637_Algia_fasciata,13635,7
genera,62,Hestina,NW143_6_Hestina_mena,15165,7
genera,62,Euripus,NW112_20_Euripus_nyctelius,15165,7
genera,62,Outgroup,NW69_6_Apatura_iris,15165,7
genera,63,Hestinalis,NW156_15_Hestinalis_divona,12978,7
genera,63,Mimathyma,NW84_7_Mimathyma_schrenckii,12978,7
genera,63,Outgroup,NW69_6_Apatura_iris,12978,7
genera,64,Biblis,NW106_3_Biblis_hyperia,14355,7
genera,64,Vila,NW129_18_Vila_azeka,14355,7
genera,64,Outgroup,NW83_5_Mesoxantha_ethosea,14355,7
genera,65,Mestra,NW129_22_Mestra_hypermestra,13239,7
genera,65,Archimestra,NW152_8_Archimestra_teleboas,13239,7
genera,65,Outgroup,NW83_5_Mesoxantha_ethosea,13239,7
genera,66,Mesoxantha,NW83_5_Mesoxantha_ethosea,12447,7
genera,66,Neptidopsis,NW99_14_Neptidopsis_ophione,12447,7
