pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,baseml_bl_left,baseml_bl_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast,baseml_bl_contrast
24,major-lineage,Curetinae,Polyommatinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,4.394449154672439,7.656810091480378,9,176,0.8410686705679302,0.8902465194398713,2.70805020110221,6.293419278846481,2.8903717578961645,7.115582126184454,81,2115,Curetinae - Polyommatinae,-1,9.504667215049533,NA,NA,4.225210368288289,3.262360936807939,3.585369077744271,0.0491778488719411,NA
25,major-lineage,Libytheinae,Danainae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0471975511965976,0.8966069237153939,2.4849066497880004,5.308267697401205,3.1780538303479458,6.440946540632921,NA,NA,Libytheinae - Danainae,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,major-lineage,Choreutinae,Brenthiinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,5.697093486505405,4.127134385045092,15,11,0.7636521780023905,0.6154797086703873,4.04305126783455,2.70805020110221,4.61512051684126,3.044522437723423,298,62,Choreutinae - Brenthiinae,1,7.1669128118571646,NA,NA,1.5705980791178367,1.569959101460313,1.3350010667323402,0.14817246933200323,NA
29,major-lineage,Gracillariinae,Phyllocnistinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6935452960027361,0.6034424594703538,6.476972362889683,4.356708826689592,6.963189985870238,4.844187086458591,NA,NA,Gracillariinae - Phyllocnistinae,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,major-lineage,Compsocteninae,Eriocottinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5235987755982989,0,1.791759469228055,0,1.791759469228055,0,NA,NA,Compsocteninae - Eriocottinae,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,major-lineage,Epichnopteriginae,Psychinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6154797086703873,0.8309155524161559,1.0986122886681098,3.4657359027997265,1.3862943611198906,3.6888794541139363,NA,NA,Epichnopteriginae - Psychinae,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,major-lineage,Erechthiinae,Hieroxestinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,5.19295685089021,5.641907070938114,31,28,0.6625441004682162,0.7468985930690365,4.454347296253507,4.762173934797756,4.663439094112067,4.941642422609304,180,282,Erechthiinae - Hieroxestinae,-1,16.91064529947966,NA,NA,0.27820332849723695,0.4489502200479034,0.30782663854424896,0.08435449260082029,NA
34,major-lineage,Hapsiferinae,Myrmecozelinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,4.844187086458591,5.480638923341991,10,13,0.923511478779244,0.6472848480156526,3.5553480614894135,3.713572066704308,3.7612001156935624,3.7612001156935624,127,240,Hapsiferinae - Myrmecozelinae,-1,6.0270745867453686,NA,NA,-0,0.6364518368834,0.15822400521489444,-0.27622663076359144,NA
38,major-lineage,Phiditiidae,Carthaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5707963267948966,NA,0,NA,1.0986122886681098,NA,NA,Phiditiidae - Carthaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,major-lineage,Pyralidae,Crambidae,NA,NA,NA,NA,NA,NA,family,family,8.655737000864297,9.202106567049078,586,720,0.7454230815916827,NA,8.069342366811636,NA,8.57772369115627,NA,5743,9918,Pyralidae - Crambidae,-1,354.5070362971076,NA,NA,NA,0.5463695661847812,NA,NA,NA
40,major-lineage,Bombycidae,Sphingidae,NA,NA,NA,NA,NA,NA,family,family,5.332718793265369,7.564238475170491,11,332,0.7353144528166684,0.9988665633597855,3.2188758248682006,6.927557906278317,3.8066624897703196,7.6984827878809465,207,1928,Bombycidae - Sphingidae,-1,11.237129506268802,NA,NA,3.891820298110627,2.231519681905122,3.708682081410116,0.2635521105431171,NA
41,major-lineage,Yponomeutidae,Attevidae,NA,NA,NA,NA,NA,NA,family,NA,5.869296913133774,NA,97,NA,0.7042034551600133,NA,6.0112671744041615,NA,6.565264970035361,NA,354,NA,Yponomeutidae - Attevidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,major-lineage,Cosmopterigidae,Elachistidae,NA,NA,NA,NA,NA,NA,family,NA,7.405495663199472,NA,180,NA,0.5868081206190167,0.6472848480156526,6.222576268071369,4.709530201312334,6.501289670540389,5.308267697401205,1645,NA,Cosmopterigidae - Elachistidae,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,major-lineage,Uraniidae,Geometridae,NA,NA,NA,NA,NA,NA,family,family,6.476972362889683,10.124468767685654,25,1337,0.5899850981097275,0.8303555374134008,3.8501476017100584,8.361474616416817,4.30406509320417,8.851377097519439,650,24946,Uraniidae - Geometridae,-1,25.491549613615742,NA,NA,4.547312004315269,3.6474964047959713,4.511327014706759,0.2403704393036733,NA
